date,day_of_week,root_cause,scheduled_hours,downtime_hours,runtime_hours,throughput_kg_per_hr,planned_input_kg,actual_input_kg,expected_output_kg,net_good_output_kg,rejected_kg,process_yield_pct,target_achievement_pct,downtime_pct,rejection_pct,energy_consumed_kwh,energy_intensity_kwh_per_kg,revenue_inr,total_cost_inr,daily_profit_inr,waste_loss_inr,downtime_opportunity_loss_inr
2026-04-08,Wednesday,Normal Operation,16.0,0.42,15.58,58.0,1020.0,902.9,897.6,766.8,23.0,87.5,85.4,2.6,2.91,203.6,0.266,49842.68,44449.42,5393.26,1495.0,6698.12
2026-04-09,Thursday,Normal Operation,16.0,0.51,15.49,63.0,1021.2,975.4,898.7,863.4,12.8,89.8,96.1,3.2,1.46,202.9,0.235,56121.02,47488.35,8632.67,832.0,2619.76
2026-04-10,Friday,Normal Operation,16.0,0.15,15.85,64.3,1022.4,1019.4,899.7,909.1,13.4,90.5,101.0,1.0,1.45,205.8,0.226,59092.39,49357.49,9734.9,871.0,171.6
2026-04-11,Saturday,Normal Operation,16.0,0.22,15.78,63.5,1023.5,1002.3,900.7,861.4,7.6,86.7,95.6,1.4,0.87,205.2,0.238,55990.97,48636.12,7354.85,494.0,1212.64
2026-04-12,Sunday,Normal Operation,8.0,0.52,7.48,62.0,512.3,463.8,450.8,411.8,3.6,89.6,91.3,6.5,0.87,106.8,0.259,26766.19,25282.81,1483.38,234.0,2774.2
2026-04-13,Monday,Normal Operation,16.0,0.42,15.58,62.6,1025.7,975.9,902.6,838.9,21.5,88.2,92.9,2.6,2.5,203.7,0.243,54527.37,47514.6,7012.77,1397.5,2848.56
2026-04-14,Tuesday,Normal Operation,16.0,0.63,15.37,61.4,1026.8,943.9,903.6,827.7,10.7,88.8,91.6,3.9,1.28,202.0,0.244,53798.19,46158.92,7639.27,695.5,4741.88
2026-04-15,Wednesday,Calibration Error,16.0,2.31,13.69,61.9,1027.8,846.9,904.5,732.7,24.7,89.4,81.0,14.4,3.26,188.5,0.257,47624.81,41981.94,5642.87,1605.5,10347.48
2026-04-16,Thursday,Normal Operation,16.0,0.72,15.28,57.9,1028.8,883.8,905.3,755.8,11.6,86.8,83.5,4.5,1.51,201.2,0.266,49129.04,43630.82,5498.22,754.0,8294.0
2026-04-17,Friday,Normal Operation,16.0,0.61,15.39,61.9,1029.7,952.2,906.2,813.0,15.9,87.1,89.7,3.8,1.92,202.1,0.249,52846.86,46507.35,6339.51,1033.5,4433.0
2026-04-18,Saturday,Normal Operation,16.0,0.27,15.73,62.7,1030.6,985.6,907.0,876.3,13.9,90.3,96.6,1.7,1.56,204.8,0.234,56957.19,47929.62,9027.57,903.5,2574.0
2026-04-19,Sunday,Normal Operation,8.0,0.41,7.59,61.8,515.8,468.8,453.9,408.4,8.2,88.9,90.0,5.2,1.97,107.7,0.264,26544.83,25498.87,1045.96,533.0,2688.4
2026-04-20,Monday,Normal Operation,16.0,2.34,13.66,64.4,1032.4,880.4,908.5,764.2,17.1,88.7,84.1,14.6,2.19,198.3,0.259,49673.37,43461.99,6211.38,1111.5,8694.4
2026-04-21,Tuesday,Normal Operation,16.0,0.31,15.69,64.4,1033.2,1010.9,909.2,870.1,14.7,87.5,95.7,1.9,1.66,204.6,0.235,56557.78,48991.2,7566.58,955.5,1275.56
2026-04-22,Wednesday,Equipment Breakdown,16.0,3.36,12.64,65.3,1033.9,825.5,909.9,705.4,12.5,87.0,77.5,21.0,1.74,190.2,0.27,45849.54,41096.67,4752.87,812.5,11920.48
2026-04-23,Thursday,Normal Operation,16.0,0.55,15.45,59.5,1034.6,919.1,910.5,798.5,6.8,87.6,87.7,3.4,0.84,202.6,0.254,51901.76,45122.43,6779.33,442.0,6606.6
2026-04-24,Friday,Normal Operation,16.0,0.7,15.3,65.2,1035.3,998.1,911.1,890.0,5.3,89.7,97.7,4.4,0.59,201.4,0.226,57852.34,48431.99,9420.35,344.5,2127.84
2026-04-25,Saturday,Normal Operation,16.0,0.64,15.36,61.4,1036.0,943.3,911.6,834.8,7.8,89.3,91.6,4.0,0.93,201.9,0.242,54262.95,46134.26,8128.69,507.0,5302.44
2026-04-26,Sunday,Normal Operation,8.0,0.33,7.67,61.1,518.3,468.8,456.1,401.9,8.1,87.5,88.1,4.1,1.98,108.4,0.27,26123.67,25501.67,622.0,526.5,2831.4
2026-04-27,Monday,Normal Operation,16.0,0.4,15.6,61.3,1037.1,955.6,912.6,858.0,9.0,90.7,94.0,2.5,1.04,203.8,0.238,55771.23,46665.17,9106.06,585.0,4661.8
2026-04-28,Tuesday,Normal Operation,16.0,0.87,15.13,60.2,1037.6,911.5,913.1,788.3,10.6,87.6,86.3,5.4,1.33,200.1,0.254,51242.56,44784.77,6457.79,689.0,7212.92
2026-04-29,Wednesday,Normal Operation,16.0,0.75,15.25,61.6,1038.0,939.4,913.5,826.5,14.9,89.6,90.5,4.7,1.77,201.0,0.243,53720.41,45962.74,7757.67,968.5,5639.92
2026-04-30,Thursday,Normal Operation,16.0,0.69,15.31,61.9,1038.5,947.8,913.8,841.8,7.1,89.6,92.1,4.3,0.84,201.5,0.239,54714.49,46318.44,8396.05,461.5,5188.04
2026-05-01,Friday,Normal Operation,16.0,0.74,15.26,58.5,1038.8,893.1,914.2,784.3,10.3,89.0,85.8,4.6,1.3,201.1,0.256,50982.19,44016.12,6966.07,669.5,8334.04
2026-05-02,Saturday,Normal Operation,16.0,2.3,13.7,64.9,1039.1,889.7,914.4,754.5,14.8,86.5,82.5,14.3,1.92,198.6,0.263,49044.33,43858.48,5185.85,962.0,8545.68
2026-05-03,Sunday,Normal Operation,8.0,0.41,7.59,62.3,519.7,472.9,457.3,416.8,5.1,89.2,91.1,5.2,1.21,107.7,0.258,27089.24,25667.77,1421.47,331.5,2676.96
2026-05-04,Monday,Normal Operation,16.0,0.56,15.44,60.9,1039.6,940.7,914.9,816.0,12.6,88.1,89.2,3.5,1.52,202.5,0.248,53039.57,46028.85,7010.73,819.0,5657.08
2026-05-05,Tuesday,Normal Operation,16.0,0.86,15.14,63.1,1039.8,955.8,915.0,830.8,16.2,88.6,90.8,5.4,1.91,200.1,0.241,54000.48,46642.78,7357.7,1053.0,4804.8
2026-05-06,Wednesday,Normal Operation,16.0,0.16,15.84,61.4,1039.9,972.0,915.1,832.5,15.7,87.3,91.0,1.0,1.85,205.7,0.247,54111.38,47366.27,6745.11,1020.5,3883.88
2026-05-07,Thursday,Normal Operation,16.0,0.57,15.43,60.6,1040.0,934.5,915.2,826.0,8.5,89.3,90.3,3.6,1.02,202.4,0.245,53688.91,45765.38,7923.53,552.5,6034.6
2026-05-08,Friday,Calibration Error,16.0,0.4,15.6,59.9,1040.0,934.4,915.2,674.3,43.2,76.8,73.7,2.5,6.02,203.8,0.302,43831.93,45774.25,-1942.32,2808.0,6040.32
2026-05-09,Saturday,Normal Operation,16.0,0.59,15.41,60.1,1040.0,925.7,915.2,814.0,9.8,89.0,88.9,3.7,1.19,202.3,0.249,52911.06,45398.56,7512.5,637.0,6537.96
2026-05-10,Sunday,Normal Operation,8.0,0.7,7.3,62.1,520.0,453.0,457.6,394.9,6.5,88.6,86.3,8.8,1.62,105.4,0.267,25670.11,24818.15,851.96,422.5,3832.4
2026-05-11,Monday,Normal Operation,16.0,1.88,14.12,63.4,1039.8,894.8,915.0,768.9,16.1,87.7,84.0,11.8,2.05,202.0,0.263,49976.55,44095.05,5881.5,1046.5,8294.0
2026-05-12,Tuesday,Normal Operation,16.0,0.11,15.89,63.0,1039.6,1000.2,914.9,867.1,16.9,88.4,94.8,0.7,1.91,206.1,0.238,56362.16,48551.98,7810.18,1098.5,2253.68
2026-05-13,Wednesday,Normal Operation,16.0,0.53,15.47,62.7,1039.4,970.2,914.7,849.8,10.1,88.6,92.9,3.3,1.17,202.8,0.239,55239.06,47271.2,7967.86,656.5,3958.24
2026-05-14,Thursday,Normal Operation,16.0,0.34,15.66,62.3,1039.1,976.3,914.4,831.1,10.8,86.2,90.9,2.1,1.28,204.3,0.246,54024.05,47538.18,6485.87,702.0,3592.16
2026-05-15,Friday,Calibration Error,16.0,1.46,14.54,61.0,1038.8,886.8,914.2,735.0,28.8,86.1,80.4,9.1,3.77,195.4,0.266,47772.66,43711.7,4060.96,1872.0,8694.4
2026-05-16,Saturday,Normal Operation,16.0,0.43,15.57,62.0,1038.5,965.9,913.8,850.0,5.1,88.5,93.0,2.7,0.6,203.5,0.239,55252.86,47095.75,8157.11,331.5,4152.72
2026-05-17,Sunday,Normal Operation,8.0,0.79,7.21,63.5,519.0,457.8,456.7,397.2,8.3,88.6,87.0,9.8,2.04,104.7,0.264,25821.07,25012.11,808.95,539.5,3500.64
2026-05-18,Monday,Equipment Breakdown,16.0,4.13,11.87,61.9,1037.6,735.4,913.1,598.5,15.2,83.4,65.5,25.8,2.47,184.0,0.307,38902.37,37265.45,1636.92,988.0,17285.84
2026-05-19,Tuesday,Normal Operation,16.0,0.48,15.52,61.9,1037.1,960.2,912.6,839.5,4.2,87.9,92.0,3.0,0.5,203.2,0.242,54565.07,46852.08,7712.99,273.0,4398.68
2026-05-20,Wednesday,Normal Operation,16.0,0.94,15.06,64.4,1036.5,969.4,912.2,846.3,8.9,88.2,92.8,5.9,1.04,199.5,0.236,55006.26,47211.03,7795.23,578.5,3838.12
2026-05-21,Thursday,Normal Operation,16.0,0.57,15.43,62.3,1036.0,960.6,911.6,849.4,8.8,89.3,93.2,3.6,1.03,202.4,0.238,55210.36,46864.66,8345.7,572.0,4312.88
2026-05-22,Friday,Normal Operation,16.0,0.53,15.47,61.5,1035.3,950.9,911.1,824.8,14.0,88.2,90.5,3.3,1.67,202.8,0.246,53611.63,46457.7,7153.93,910.0,4827.68
2026-05-23,Saturday,Normal Operation,16.0,0.51,15.49,63.6,1034.6,984.7,910.5,889.1,6.1,90.9,97.6,3.2,0.68,202.9,0.228,57789.61,47880.69,9908.92,396.5,2854.28
2026-05-24,Sunday,Normal Operation,8.0,0.52,7.48,60.7,517.0,454.1,454.9,399.6,2.8,88.6,87.8,6.5,0.7,106.9,0.268,25971.67,24872.12,1099.55,182.0,3597.88
2026-05-25,Monday,Normal Operation,16.0,0.76,15.24,64.6,1033.2,984.0,909.2,848.5,11.6,87.4,93.3,4.8,1.35,200.9,0.237,55152.23,47836.21,7316.02,754.0,2814.24
2026-05-26,Tuesday,Normal Operation,16.0,0.86,15.14,60.7,1032.4,918.9,908.5,788.8,16.6,87.6,86.8,5.4,2.06,200.1,0.254,51271.58,45094.22,6177.36,1079.0,6492.2
2026-05-27,Wednesday,Normal Operation,16.0,0.29,15.71,64.5,1031.5,1012.5,907.7,868.9,10.2,86.8,95.7,1.8,1.16,204.6,0.235,56478.86,49061.43,7417.43,663.0,1086.8
2026-05-28,Thursday,Normal Operation,16.0,0.37,15.63,63.9,1030.6,999.0,907.0,855.4,16.5,87.3,94.3,2.3,1.89,204.0,0.238,55600.07,48487.2,7112.87,1072.5,1807.52
2026-05-29,Friday,Normal Operation,16.0,0.82,15.18,62.0,1029.7,941.5,906.2,817.9,12.1,88.2,90.3,5.2,1.46,200.4,0.245,53160.39,46045.85,7114.54,786.5,5045.04
2026-05-30,Saturday,Normal Operation,16.0,0.35,15.65,62.2,1028.8,973.9,905.3,864.2,16.6,90.4,95.5,2.2,1.88,204.2,0.236,56173.42,47433.67,8739.75,1079.0,3140.28
2026-05-31,Sunday,Normal Operation,8.0,0.4,7.6,64.1,513.9,487.5,452.2,422.6,3.2,87.3,93.4,4.9,0.75,107.8,0.255,27467.99,26285.45,1182.54,208.0,1510.08
2026-06-01,Monday,Normal Operation,16.0,0.78,15.22,62.8,1026.8,955.8,903.6,825.9,11.1,87.6,91.4,4.9,1.33,200.7,0.243,53683.54,46649.13,7034.41,721.5,4061.2
2026-06-02,Tuesday,Normal Operation,16.0,0.74,15.26,59.4,1025.7,907.2,902.6,799.0,16.0,89.8,88.5,4.6,1.96,201.1,0.252,51935.61,44612.09,7323.53,1040.0,6778.2
2026-06-03,Wednesday,Normal Operation,16.0,0.42,15.58,63.4,1024.6,988.1,901.7,857.9,13.7,88.2,95.1,2.6,1.57,203.6,0.237,55766.01,48026.29,7739.72,890.5,2087.8
2026-06-04,Thursday,Normal Operation,16.0,0.14,15.86,67.1,1023.5,1063.8,900.7,928.1,15.2,88.7,103.0,0.8,1.61,205.9,0.222,60323.45,51223.15,9100.3,988.0,0.0
2026-06-05,Friday,Normal Operation,16.0,0.77,15.23,64.2,1022.4,978.6,899.7,843.6,12.4,87.5,93.8,4.8,1.45,200.9,0.238,54835.99,47607.18,7228.81,806.0,2505.36
2026-06-06,Saturday,Normal Operation,16.0,0.65,15.35,61.4,1021.2,942.0,898.7,823.7,13.5,88.9,91.7,4.1,1.61,201.8,0.245,53541.65,46075.28,7466.37,877.5,4530.24
2026-06-07,Sunday,Normal Operation,8.0,0.0,8.0,62.6,510.0,501.2,448.8,437.1,8.2,88.8,97.4,0.0,1.84,111.0,0.254,28409.93,26882.64,1527.29,533.0,503.36
2026-06-08,Monday,Normal Operation,16.0,0.33,15.67,63.8,1018.8,998.8,896.5,878.0,9.6,88.9,97.9,2.1,1.08,204.3,0.233,57070.75,48480.72,8590.03,624.0,1144.0
2026-06-09,Tuesday,Normal Operation,16.0,0.61,15.39,60.9,1017.5,936.8,895.4,816.3,18.9,89.2,91.2,3.8,2.26,202.1,0.248,53056.7,45859.38,7197.32,1228.5,4616.04
2026-06-10,Wednesday,Calibration Error,16.0,1.11,14.89,62.7,1016.3,933.9,894.3,736.4,58.9,85.2,82.3,7.0,7.4,198.1,0.269,47864.43,45707.36,2157.08,3828.5,4713.28
2026-06-11,Thursday,Normal Operation,16.0,0.65,15.35,62.6,1015.0,960.8,893.2,829.6,15.9,88.0,92.9,4.1,1.88,201.8,0.243,53922.13,46865.67,7056.46,1033.5,3100.24
2026-06-12,Friday,Normal Operation,16.0,0.33,15.67,59.7,1013.7,935.4,892.0,828.6,8.5,89.5,92.9,2.1,1.02,204.4,0.247,53855.89,45817.85,8038.04,552.5,4478.76
2026-06-13,Saturday,Normal Operation,16.0,0.45,15.55,63.9,1012.4,993.6,890.9,846.5,15.7,86.8,95.0,2.8,1.82,203.4,0.24,55022.65,48257.2,6765.45,1020.5,1075.36
2026-06-14,Sunday,Equipment Breakdown,8.0,2.68,5.32,60.4,505.5,321.4,444.9,270.2,8.3,86.7,60.7,33.5,2.97,99.6,0.369,17563.47,19244.41,-1680.94,539.5,10530.52
2026-06-15,Monday,Normal Operation,16.0,0.72,15.28,64.3,1009.7,982.2,888.5,840.9,12.8,86.9,94.6,4.5,1.5,201.3,0.239,54656.72,47762.63,6894.09,832.0,1573.0
2026-06-16,Tuesday,Calibration Error,16.0,0.46,15.54,64.4,1008.3,1000.3,887.3,737.9,57.4,79.5,83.2,2.8,7.22,203.4,0.276,47963.17,48538.07,-574.9,3731.0,457.6
2026-06-17,Wednesday,Normal Operation,16.0,0.21,15.79,61.7,1006.9,974.1,886.1,857.2,11.4,89.2,96.7,1.3,1.31,205.4,0.24,55715.74,47453.85,8261.89,741.0,1876.16
2026-06-18,Thursday,Normal Operation,16.0,0.19,15.81,61.4,1005.6,970.9,884.9,868.2,4.4,89.9,98.1,1.2,0.5,205.5,0.237,56432.73,47318.19,9114.54,286.0,1984.84
2026-06-19,Friday,Normal Operation,16.0,0.32,15.68,61.1,1004.2,958.1,883.7,838.3,6.5,88.2,94.9,2.0,0.77,204.4,0.244,54490.89,46772.2,7718.69,422.5,2636.92
2026-06-20,Saturday,Normal Operation,16.0,0.62,15.38,64.8,1002.8,996.7,882.5,874.7,9.1,88.7,99.1,3.9,1.03,202.1,0.231,56854.29,48377.88,8476.41,591.5,348.92
2026-06-21,Sunday,Calibration Error,8.0,0.83,7.17,60.8,500.7,435.7,440.6,373.1,20.0,90.2,84.7,10.4,5.08,104.3,0.28,24248.82,24081.47,167.35,1300.0,3718.0
2026-06-22,Monday,Calibration Error,16.0,2.25,13.75,62.0,1000.0,852.4,880.0,719.4,23.7,87.2,81.8,14.0,3.19,189.0,0.263,46763.97,42217.48,4546.49,1540.5,8442.72
2026-06-23,Tuesday,Normal Operation,16.0,0.52,15.48,65.3,998.6,1011.2,878.8,869.9,18.1,87.8,99.0,3.2,2.04,202.8,0.233,56545.17,48993.59,7551.58,1176.5,0.0
2026-06-24,Wednesday,Normal Operation,16.0,0.15,15.85,58.9,997.2,933.5,877.5,803.0,16.7,87.8,91.5,0.9,2.04,205.8,0.256,52192.53,45749.73,6442.8,1085.5,3643.64
2026-06-25,Thursday,Equipment Breakdown,16.0,7.25,8.75,62.9,995.8,550.0,876.3,483.7,10.5,89.9,55.2,45.3,2.13,159.0,0.329,31440.28,29290.88,2149.41,682.5,25499.76
2026-06-26,Friday,Normal Operation,16.0,0.65,15.35,61.1,994.4,938.5,875.1,808.2,9.2,87.1,92.4,4.0,1.13,201.8,0.25,52530.77,45930.7,6600.07,598.0,3197.48
2026-06-27,Saturday,Normal Operation,16.0,0.55,15.45,64.1,993.1,990.6,873.9,860.3,22.6,89.1,98.4,3.5,2.56,202.6,0.235,55919.25,48124.24,7795.01,1469.0,143.0
2026-06-28,Sunday,Normal Operation,8.0,0.47,7.53,67.4,495.8,507.7,436.3,443.9,3.9,88.2,101.7,5.8,0.87,107.3,0.242,28853.2,27128.7,1724.5,253.5,0.0
2026-06-29,Monday,Normal Operation,16.0,0.31,15.69,61.6,990.3,966.7,871.5,865.4,7.0,90.3,99.3,1.9,0.8,204.5,0.236,56252.78,47133.97,9118.81,455.0,1349.92
2026-06-30,Tuesday,Normal Operation,16.0,0.79,15.21,63.1,989.0,959.8,870.3,841.5,11.3,88.9,96.7,4.9,1.33,200.7,0.239,54699.21,46816.4,7882.82,734.5,1670.24
2026-07-01,Wednesday,Normal Operation,16.0,0.3,15.7,64.3,987.6,1010.2,869.1,882.8,12.7,88.6,101.6,1.9,1.42,204.6,0.232,57383.44,48963.42,8420.02,825.5,0.0
2026-07-02,Thursday,Normal Operation,16.0,0.7,15.3,63.2,986.3,966.9,868.0,838.8,13.4,88.1,96.6,4.3,1.57,201.4,0.24,54520.49,47122.37,7398.12,871.0,1109.68
2026-07-03,Friday,Normal Operation,16.0,0.76,15.24,65.2,985.0,992.8,866.8,875.4,14.8,89.7,101.0,4.8,1.66,200.9,0.229,56902.3,48203.74,8698.56,962.0,0.0
2026-07-04,Saturday,Normal Operation,16.0,1.67,14.33,61.9,983.7,886.8,865.7,767.2,11.3,87.8,88.6,10.4,1.45,203.7,0.266,49869.23,43773.71,6095.52,734.5,5542.68
2026-07-05,Sunday,Normal Operation,8.0,0.42,7.58,61.2,491.2,463.8,432.3,410.5,5.7,89.7,95.0,5.2,1.37,107.7,0.262,26685.58,25286.76,1398.81,370.5,1567.28
2026-07-06,Monday,Normal Operation,16.0,0.1,15.9,60.0,981.2,953.7,863.5,828.2,13.9,88.3,95.9,0.6,1.65,206.2,0.249,53835.84,46603.77,7232.07,903.5,1573.0
2026-07-07,Tuesday,Equipment Breakdown,16.0,3.01,12.99,63.2,980.0,820.6,862.4,707.1,11.1,87.5,82.0,18.8,1.55,192.9,0.273,45961.77,40911.73,5050.04,721.5,9117.68
2026-07-08,Wednesday,Normal Operation,16.0,0.35,15.65,59.4,978.8,928.7,861.3,809.8,8.7,88.1,94.0,2.2,1.06,204.2,0.252,52636.22,45535.23,7100.99,565.5,2865.72
2026-07-09,Thursday,Equipment Breakdown,16.0,5.57,10.43,64.2,977.6,669.5,860.3,571.1,15.9,87.7,66.4,34.8,2.71,172.4,0.302,37119.0,34410.48,2708.52,1033.5,17623.32
2026-07-10,Friday,Calibration Error,16.0,1.52,14.48,63.2,976.5,914.8,859.3,707.8,41.3,81.9,82.4,9.5,5.51,194.8,0.275,46004.21,44884.25,1119.96,2684.5,3529.24
2026-07-11,Saturday,Normal Operation,16.0,0.39,15.61,62.0,975.4,967.5,858.3,839.2,17.9,88.6,97.8,2.4,2.08,203.9,0.243,54548.44,47163.91,7384.53,1163.5,451.88
2026-07-12,Sunday,Normal Operation,8.0,0.63,7.37,60.2,487.1,443.9,428.7,383.2,8.4,88.2,89.4,7.8,2.14,106.0,0.277,24908.82,24437.6,471.22,546.0,2471.04
2026-07-13,Monday,Normal Operation,16.0,0.14,15.86,62.5,973.2,990.8,856.4,866.5,8.0,88.3,101.2,0.9,0.91,205.9,0.238,56324.86,48156.51,8168.35,520.0,0.0
2026-07-14,Tuesday,Normal Operation,16.0,0.31,15.69,60.5,972.2,949.4,855.5,831.9,15.2,89.2,97.2,1.9,1.79,204.5,0.246,54074.7,46409.11,7665.59,988.0,1304.16
2026-07-15,Wednesday,Normal Operation,16.0,0.72,15.28,58.4,971.2,893.0,854.7,774.7,13.2,88.2,90.6,4.5,1.68,201.3,0.26,50357.28,44014.43,6342.85,858.0,4473.04
2026-07-16,Thursday,Normal Operation,16.0,0.38,15.62,61.0,970.3,953.4,853.8,833.0,12.5,88.7,97.6,2.4,1.48,204.0,0.245,54143.37,46572.39,7570.98,812.5,966.68
2026-07-17,Friday,Normal Operation,16.0,0.58,15.42,62.9,969.4,970.2,853.0,849.0,9.6,88.5,99.5,3.6,1.12,202.4,0.238,55182.55,47265.55,7917.0,624.0,0.0
2026-07-18,Saturday,Equipment Breakdown,16.0,5.76,10.24,63.4,968.5,649.6,852.3,544.6,6.9,84.9,63.9,36.0,1.25,171.0,0.314,35397.76,33564.66,1833.1,448.5,18241.08
2026-07-19,Sunday,Normal Operation,8.0,0.54,7.46,63.1,483.8,470.5,425.8,404.7,7.8,87.7,95.0,6.8,1.89,106.7,0.264,26303.11,25559.95,743.16,507.0,760.76
2026-07-20,Monday,Normal Operation,16.0,0.45,15.55,63.6,966.8,989.0,850.8,853.7,12.7,87.6,100.3,2.8,1.47,203.4,0.238,55493.18,48065.08,7428.1,825.5,0.0
2026-07-21,Tuesday,Calibration Error,16.0,0.87,15.13,67.2,966.1,1016.1,850.1,779.8,65.5,83.2,91.7,5.4,7.75,200.1,0.257,50689.89,49178.06,1511.83,4257.5,0.0
2026-07-22,Wednesday,Normal Operation,16.0,0.56,15.44,63.0,965.4,972.9,849.5,841.4,16.2,88.1,99.0,3.5,1.89,202.6,0.241,54689.5,47381.18,7308.32,1053.0,0.0
2026-07-23,Thursday,Normal Operation,16.0,0.52,15.48,68.7,964.7,1063.9,848.9,935.2,12.2,89.1,110.2,3.3,1.29,202.8,0.217,60789.68,51203.48,9586.2,793.0,0.0
2026-07-24,Friday,Normal Operation,16.0,0.6,15.4,62.1,964.0,956.7,848.4,824.5,12.1,87.4,97.2,3.7,1.45,202.2,0.245,53590.68,46698.04,6892.64,786.5,417.56
2026-07-25,Saturday,Normal Operation,16.0,0.52,15.48,63.3,963.5,980.2,847.8,861.7,9.2,88.8,101.6,3.3,1.06,202.8,0.235,56007.54,47689.61,8317.93,598.0,0.0
2026-07-26,Sunday,Normal Operation,8.0,0.59,7.41,59.8,481.5,443.3,423.7,388.1,5.8,88.9,91.6,7.4,1.47,106.3,0.274,25228.79,24414.27,814.52,377.0,2185.04
2026-07-27,Monday,Normal Operation,16.0,0.29,15.71,62.0,962.4,973.5,846.9,851.8,7.7,88.3,100.6,1.8,0.9,204.7,0.24,55369.19,47421.7,7947.49,500.5,0.0
2026-07-28,Tuesday,Normal Operation,16.0,0.45,15.55,63.3,962.0,984.3,846.5,854.5,7.0,87.5,100.9,2.8,0.81,203.4,0.238,55539.33,47865.26,7674.07,455.0,0.0
2026-07-29,Wednesday,Normal Operation,16.0,0.07,15.93,61.1,961.5,973.3,846.2,846.0,19.4,88.9,100.0,0.4,2.24,206.5,0.244,54990.56,47425.72,7564.84,1261.0,0.0
2026-07-30,Thursday,Normal Operation,16.0,0.77,15.23,65.0,961.2,990.5,845.8,883.9,14.6,90.7,104.5,4.8,1.62,200.8,0.227,57451.49,48105.16,9346.33,949.0,0.0
2026-07-31,Friday,Normal Operation,16.0,0.64,15.36,57.7,960.9,886.2,845.6,774.0,12.3,88.7,91.5,4.0,1.56,201.9,0.261,50307.59,43734.16,6573.43,799.5,4272.84
